partition,fold,method,selected_k,sample_path,object_code,theta_true_deg,phi_true_deg,theta_pred_deg,phi_pred_deg,great_circle_err_deg,top1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti090_pi210_hrrp.npz,b827,90.0,210.0,90.0,210.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti090_pi240_hrrp.npz,b827,90.0,240.0,90.0,300.0,60.000000000000036,0
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti090_pi270_hrrp.npz,b827,90.0,270.0,90.0,270.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti090_pi300_hrrp.npz,b827,90.0,300.0,90.0,300.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti090_pi330_hrrp.npz,b827,90.0,330.0,90.0,330.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti120_pi000_hrrp.npz,b827,120.0,0.0,120.0,0.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti120_pi030_hrrp.npz,b827,120.0,30.0,120.0,30.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti120_pi060_hrrp.npz,b827,120.0,60.0,120.0,60.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti120_pi090_hrrp.npz,b827,120.0,90.0,120.0,90.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti120_pi120_hrrp.npz,b827,120.0,120.0,120.0,120.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti120_pi150_hrrp.npz,b827,120.0,150.0,120.0,150.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti120_pi180_hrrp.npz,b827,120.0,180.0,120.0,180.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti120_pi210_hrrp.npz,b827,120.0,210.0,120.0,210.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti120_pi240_hrrp.npz,b827,120.0,240.0,120.0,240.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti120_pi270_hrrp.npz,b827,120.0,270.0,120.0,270.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti120_pi300_hrrp.npz,b827,120.0,300.0,120.0,300.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti120_pi330_hrrp.npz,b827,120.0,330.0,120.0,330.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti150_pi000_hrrp.npz,b827,150.0,0.0,150.0,0.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti150_pi030_hrrp.npz,b827,150.0,30.0,150.0,30.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti150_pi060_hrrp.npz,b827,150.0,60.0,150.0,60.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti150_pi090_hrrp.npz,b827,150.0,90.0,150.0,90.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti150_pi120_hrrp.npz,b827,150.0,120.0,150.0,120.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti150_pi150_hrrp.npz,b827,150.0,150.0,150.0,150.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti150_pi180_hrrp.npz,b827,150.0,180.0,150.0,180.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti150_pi210_hrrp.npz,b827,150.0,210.0,150.0,210.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti150_pi240_hrrp.npz,b827,150.0,240.0,30.0,120.0,151.04497562814015,0
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti150_pi270_hrrp.npz,b827,150.0,270.0,150.0,270.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti150_pi300_hrrp.npz,b827,150.0,300.0,150.0,300.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti150_pi330_hrrp.npz,b827,150.0,330.0,150.0,330.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti030_pi000_hrrp.npz,b871,30.0,0.0,30.0,0.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti030_pi030_hrrp.npz,b871,30.0,30.0,30.0,30.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti030_pi060_hrrp.npz,b871,30.0,60.0,30.0,60.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti030_pi090_hrrp.npz,b871,30.0,90.0,30.0,90.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti030_pi120_hrrp.npz,b871,30.0,120.0,30.0,120.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti030_pi150_hrrp.npz,b871,30.0,150.0,30.0,150.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti030_pi180_hrrp.npz,b871,30.0,180.0,30.0,180.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti030_pi210_hrrp.npz,b871,30.0,210.0,30.0,210.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti030_pi240_hrrp.npz,b871,30.0,240.0,30.0,240.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti030_pi270_hrrp.npz,b871,30.0,270.0,30.0,270.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti030_pi300_hrrp.npz,b871,30.0,300.0,30.0,300.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti030_pi330_hrrp.npz,b871,30.0,330.0,30.0,330.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti060_pi000_hrrp.npz,b871,60.0,0.0,60.0,0.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti060_pi030_hrrp.npz,b871,60.0,30.0,60.0,30.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti060_pi060_hrrp.npz,b871,60.0,60.0,60.0,60.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti060_pi090_hrrp.npz,b871,60.0,90.0,60.0,90.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti060_pi120_hrrp.npz,b871,60.0,120.0,60.0,120.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti060_pi150_hrrp.npz,b871,60.0,150.0,60.0,150.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti060_pi180_hrrp.npz,b871,60.0,180.0,60.0,180.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti060_pi210_hrrp.npz,b871,60.0,210.0,60.0,210.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti060_pi240_hrrp.npz,b871,60.0,240.0,60.0,240.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti060_pi270_hrrp.npz,b871,60.0,270.0,60.0,270.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti060_pi300_hrrp.npz,b871,60.0,300.0,60.0,300.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti060_pi330_hrrp.npz,b871,60.0,330.0,60.0,330.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti090_pi000_hrrp.npz,b871,90.0,0.0,90.0,180.0,180.0,0
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti090_pi030_hrrp.npz,b871,90.0,30.0,90.0,60.0,29.999999999999996,0
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti090_pi060_hrrp.npz,b871,90.0,60.0,120.0,90.0,41.409622109270856,0
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti090_pi090_hrrp.npz,b871,90.0,90.0,90.0,90.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti090_pi120_hrrp.npz,b871,90.0,120.0,90.0,60.0,59.99999999999999,0
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti090_pi150_hrrp.npz,b871,90.0,150.0,120.0,120.0,41.40962210927086,0
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti090_pi180_hrrp.npz,b871,90.0,180.0,90.0,210.0,30.000000000000018,0
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti090_pi210_hrrp.npz,b871,90.0,210.0,60.0,240.0,41.40962210927084,0
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti090_pi240_hrrp.npz,b871,90.0,240.0,90.0,270.0,30.000000000000018,0
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti090_pi270_hrrp.npz,b871,90.0,270.0,90.0,270.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti090_pi300_hrrp.npz,b871,90.0,300.0,90.0,270.0,30.000000000000018,0
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti090_pi330_hrrp.npz,b871,90.0,330.0,90.0,330.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti120_pi000_hrrp.npz,b871,120.0,0.0,120.0,0.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti120_pi030_hrrp.npz,b871,120.0,30.0,120.0,30.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti120_pi060_hrrp.npz,b871,120.0,60.0,120.0,60.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti120_pi090_hrrp.npz,b871,120.0,90.0,120.0,90.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti120_pi120_hrrp.npz,b871,120.0,120.0,120.0,120.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti120_pi150_hrrp.npz,b871,120.0,150.0,120.0,150.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti120_pi180_hrrp.npz,b871,120.0,180.0,120.0,180.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti120_pi210_hrrp.npz,b871,120.0,210.0,120.0,210.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti120_pi240_hrrp.npz,b871,120.0,240.0,120.0,240.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti120_pi270_hrrp.npz,b871,120.0,270.0,120.0,270.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti120_pi300_hrrp.npz,b871,120.0,300.0,120.0,300.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti120_pi330_hrrp.npz,b871,120.0,330.0,120.0,330.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti150_pi000_hrrp.npz,b871,150.0,0.0,150.0,0.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti150_pi030_hrrp.npz,b871,150.0,30.0,150.0,30.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti150_pi060_hrrp.npz,b871,150.0,60.0,150.0,60.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti150_pi090_hrrp.npz,b871,150.0,90.0,150.0,90.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti150_pi120_hrrp.npz,b871,150.0,120.0,150.0,120.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti150_pi150_hrrp.npz,b871,150.0,150.0,150.0,150.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti150_pi180_hrrp.npz,b871,150.0,180.0,150.0,180.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti150_pi210_hrrp.npz,b871,150.0,210.0,150.0,210.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti150_pi240_hrrp.npz,b871,150.0,240.0,150.0,240.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti150_pi270_hrrp.npz,b871,150.0,270.0,150.0,270.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti150_pi300_hrrp.npz,b871,150.0,300.0,150.0,300.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b871/pec/b871_pec_ti150_pi330_hrrp.npz,b871,150.0,330.0,150.0,330.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti030_pi000_hrrp.npz,b905,30.0,0.0,30.0,0.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti030_pi030_hrrp.npz,b905,30.0,30.0,30.0,30.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti030_pi060_hrrp.npz,b905,30.0,60.0,30.0,60.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti030_pi090_hrrp.npz,b905,30.0,90.0,30.0,90.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti030_pi120_hrrp.npz,b905,30.0,120.0,30.0,120.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti030_pi150_hrrp.npz,b905,30.0,150.0,30.0,150.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti030_pi180_hrrp.npz,b905,30.0,180.0,30.0,180.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti030_pi210_hrrp.npz,b905,30.0,210.0,30.0,210.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti030_pi240_hrrp.npz,b905,30.0,240.0,30.0,240.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti030_pi270_hrrp.npz,b905,30.0,270.0,30.0,270.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti030_pi300_hrrp.npz,b905,30.0,300.0,30.0,300.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti030_pi330_hrrp.npz,b905,30.0,330.0,30.0,330.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti060_pi000_hrrp.npz,b905,60.0,0.0,60.0,0.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti060_pi030_hrrp.npz,b905,60.0,30.0,60.0,30.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti060_pi060_hrrp.npz,b905,60.0,60.0,60.0,60.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti060_pi090_hrrp.npz,b905,60.0,90.0,60.0,90.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti060_pi120_hrrp.npz,b905,60.0,120.0,60.0,120.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti060_pi150_hrrp.npz,b905,60.0,150.0,60.0,150.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti060_pi180_hrrp.npz,b905,60.0,180.0,60.0,180.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti060_pi210_hrrp.npz,b905,60.0,210.0,60.0,210.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti060_pi240_hrrp.npz,b905,60.0,240.0,120.0,120.0,128.68218745348943,0
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti060_pi270_hrrp.npz,b905,60.0,270.0,60.0,270.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti060_pi300_hrrp.npz,b905,60.0,300.0,60.0,300.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti060_pi330_hrrp.npz,b905,60.0,330.0,60.0,330.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti090_pi000_hrrp.npz,b905,90.0,0.0,90.0,0.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti090_pi030_hrrp.npz,b905,90.0,30.0,90.0,180.0,150.0,0
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti090_pi060_hrrp.npz,b905,90.0,60.0,90.0,60.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti090_pi090_hrrp.npz,b905,90.0,90.0,90.0,90.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti090_pi120_hrrp.npz,b905,90.0,120.0,90.0,120.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti090_pi150_hrrp.npz,b905,90.0,150.0,90.0,150.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti090_pi180_hrrp.npz,b905,90.0,180.0,90.0,210.0,30.000000000000018,0
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti090_pi210_hrrp.npz,b905,90.0,210.0,90.0,210.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti090_pi240_hrrp.npz,b905,90.0,240.0,90.0,240.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti090_pi270_hrrp.npz,b905,90.0,270.0,90.0,270.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti090_pi300_hrrp.npz,b905,90.0,300.0,90.0,330.0,29.99999999999996,0
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti090_pi330_hrrp.npz,b905,90.0,330.0,90.0,300.0,29.99999999999996,0
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti120_pi000_hrrp.npz,b905,120.0,0.0,120.0,0.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti120_pi030_hrrp.npz,b905,120.0,30.0,60.0,330.0,82.81924421854174,0
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti120_pi060_hrrp.npz,b905,120.0,60.0,120.0,60.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti120_pi090_hrrp.npz,b905,120.0,90.0,120.0,90.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti120_pi120_hrrp.npz,b905,120.0,120.0,120.0,120.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti120_pi150_hrrp.npz,b905,120.0,150.0,120.0,150.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti120_pi180_hrrp.npz,b905,120.0,180.0,120.0,180.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti120_pi210_hrrp.npz,b905,120.0,210.0,60.0,150.0,82.81924421854171,0
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti120_pi240_hrrp.npz,b905,120.0,240.0,60.0,120.0,128.68218745348943,0
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti120_pi270_hrrp.npz,b905,120.0,270.0,120.0,270.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti120_pi300_hrrp.npz,b905,120.0,300.0,120.0,300.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti120_pi330_hrrp.npz,b905,120.0,330.0,120.0,330.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti150_pi000_hrrp.npz,b905,150.0,0.0,150.0,0.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti150_pi030_hrrp.npz,b905,150.0,30.0,150.0,30.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti150_pi060_hrrp.npz,b905,150.0,60.0,150.0,60.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti150_pi090_hrrp.npz,b905,150.0,90.0,150.0,90.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti150_pi120_hrrp.npz,b905,150.0,120.0,150.0,120.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti150_pi150_hrrp.npz,b905,150.0,150.0,150.0,150.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti150_pi180_hrrp.npz,b905,150.0,180.0,150.0,180.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti150_pi210_hrrp.npz,b905,150.0,210.0,150.0,210.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti150_pi240_hrrp.npz,b905,150.0,240.0,150.0,240.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti150_pi270_hrrp.npz,b905,150.0,270.0,150.0,270.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti150_pi300_hrrp.npz,b905,150.0,300.0,150.0,300.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b905/pec/b905_pec_ti150_pi330_hrrp.npz,b905,150.0,330.0,150.0,330.0,0.0,1
held,1,operational_6ch_1nn,1,samples/bb7d/pec/bb7d_pec_ti030_pi000_hrrp.npz,bb7d,30.0,0.0,120.0,0.0,90.0,0
held,1,operational_6ch_1nn,1,samples/bb7d/pec/bb7d_pec_ti030_pi030_hrrp.npz,bb7d,30.0,30.0,150.0,330.0,128.68218745348946,0
held,1,operational_6ch_1nn,1,samples/bb7d/pec/bb7d_pec_ti030_pi060_hrrp.npz,bb7d,30.0,60.0,30.0,60.0,0.0,1
held,1,operational_6ch_1nn,1,samples/bb7d/pec/bb7d_pec_ti030_pi090_hrrp.npz,bb7d,30.0,90.0,150.0,90.0,120.00000000000001,0
held,1,operational_6ch_1nn,1,samples/bb7d/pec/bb7d_pec_ti030_pi120_hrrp.npz,bb7d,30.0,120.0,150.0,60.0,128.68218745348943,0
held,1,operational_6ch_1nn,1,samples/bb7d/pec/bb7d_pec_ti030_pi150_hrrp.npz,bb7d,30.0,150.0,30.0,330.0,59.999999999999986,0
held,1,operational_6ch_1nn,1,samples/bb7d/pec/bb7d_pec_ti030_pi180_hrrp.npz,bb7d,30.0,180.0,120.0,0.0,149.99999999999997,0
