condition,realization,receive_channel,component,stable_seed_uint64,harmonic_order_max,harmonic_amplitudes,harmonic1_random_phase_rad,harmonic2_random_phase_rad,harmonic3_random_phase_rad,random_phase_distribution,affine_removed_degree,fitted_constant_beta0,fitted_linear_beta1,residual_peak_before_unit_normalization,target_peak_absolute_bound,formal_response_max_abs_reproduction_error,session_scope
cal_0p5db_5deg,draw2,theta,gain_db,5467999300644162481,3,1;0.55;0.25,2.226587271843403,1.5631066967179201,-0.13317540589574195,"independent Uniform(-pi, pi)",1,-0.0023009517095856444,-0.9781499557175355,1.3255354430384119,0.5,1.1102230246251565e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_0p5db_5deg,draw2,theta,phase_deg,1266477135559758284,3,1;0.55;0.25,-0.3241933001745405,-1.9212713628958518,2.5943938907122854,"independent Uniform(-pi, pi)",1,-0.003605443923524675,1.7940086246965992,1.2940213258908648,5.0,8.881784197001252e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_1db_10deg,draw0,phi,gain_db,14731579700955689055,3,1;0.55;0.25,-0.20605841484408893,-1.184466808078812,0.793231089435769,"independent Uniform(-pi, pi)",1,-0.0053078758678670205,1.7244618468215827,1.3399397515188207,1.0,8.326672684688674e-17,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_1db_10deg,draw0,phi,phase_deg,15400923721710557423,3,1;0.55;0.25,-0.4162051716680306,0.876984916800251,1.311566819991521,"independent Uniform(-pi, pi)",1,0.006433993848403538,1.404284121393021,1.5242858561495007,10.0,1.7763568394002505e-15,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_1db_10deg,draw0,theta,gain_db,17294360900465087828,3,1;0.55;0.25,1.5891568990674863,1.762022499930719,0.027781382235315455,"independent Uniform(-pi, pi)",1,-0.005129685096976587,0.21587350445464512,1.5861107221519033,1.0,2.220446049250313e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_1db_10deg,draw0,theta,phase_deg,13003647819190988192,3,1;0.55;0.25,-0.3404189760040217,-2.9272972340773027,-1.8894493828547627,"independent Uniform(-pi, pi)",1,0.004992683079643289,2.1887178007058954,1.5437003775208475,10.0,2.6645352591003757e-15,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_1db_10deg,draw1,phi,gain_db,15590933221024754709,3,1;0.55;0.25,-2.652000988382273,-0.8538036348661566,0.6967614402733533,"independent Uniform(-pi, pi)",1,-0.0011511064224055273,-1.8457850263152074,1.2235664089780862,1.0,1.8041124150158794e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_1db_10deg,draw1,phi,phase_deg,2972852963620855996,3,1;0.55;0.25,0.0599271356054607,2.451235139037397,0.3481492625228628,"independent Uniform(-pi, pi)",1,0.002253474010936068,2.379114093494675,1.3923697077315835,10.0,2.6645352591003757e-15,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_1db_10deg,draw1,theta,gain_db,10904870606047578505,3,1;0.55;0.25,-0.7538234089496112,1.6001662540452068,-2.5383209715685506,"independent Uniform(-pi, pi)",1,0.015121198257056425,1.2352070479100148,1.978511367090087,1.0,1.1102230246251565e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_1db_10deg,draw1,theta,phase_deg,7134373399474050995,3,1;0.55;0.25,-2.629194865740698,2.1241995317870783,1.6892620584941413,"independent Uniform(-pi, pi)",1,0.007801408137062338,-1.3613354320116327,1.516613229281848,10.0,1.7763568394002505e-15,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_1db_10deg,draw2,phi,gain_db,1774845712538891368,3,1;0.55;0.25,2.083223715044417,-2.3932059619222787,2.4646201505462626,"independent Uniform(-pi, pi)",1,-0.015411181782061485,-0.6534306833488751,1.7137217020599744,1.0,2.220446049250313e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_1db_10deg,draw2,phi,phase_deg,5122006556938832994,3,1;0.55;0.25,0.3023481111014008,-1.3110724535531253,-2.8945751411522926,"independent Uniform(-pi, pi)",1,-0.008441624869226705,1.4842250887304924,1.5018587825956478,10.0,2.6645352591003757e-15,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_1db_10deg,draw2,theta,gain_db,4906076055102393652,3,1;0.55;0.25,0.036707433631075315,0.6078547904942369,1.685358886816748,"independent Uniform(-pi, pi)",1,0.0003192186033517811,1.411828955196695,1.4294608584110977,1.0,1.1102230246251565e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_1db_10deg,draw2,theta,phase_deg,3205572956367399445,3,1;0.55;0.25,-0.24665989792950027,0.6598187984198707,2.8638111982280323,"independent Uniform(-pi, pi)",1,0.0056345730122576865,1.242778372668028,1.4797521791169364,10.0,8.881784197001252e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_2db_20deg,draw0,phi,gain_db,1026764406783552614,3,1;0.55;0.25,-2.025078486684345,-0.26094452245721333,-0.4077369865119409,"independent Uniform(-pi, pi)",1,0.009404540721944892,-1.1598253506493126,1.4678795321563427,2.0,1.6653345369377348e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_2db_20deg,draw0,phi,phase_deg,15305914625735966439,3,1;0.55;0.25,2.535461708540918,-1.6419465387241512,1.7699076698072584,"independent Uniform(-pi, pi)",1,-0.014981989474147472,-1.5123014924618636,2.1045297989042044,20.0,3.552713678800501e-15,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_2db_20deg,draw0,theta,gain_db,5964803877873272923,3,1;0.55;0.25,-0.6868030956732847,-2.471592233613044,-0.8071622611667459,"independent Uniform(-pi, pi)",1,0.005198986495356819,1.932036161273275,1.4339268652187502,2.0,4.440892098500626e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_2db_20deg,draw0,theta,phase_deg,11790755460472038802,3,1;0.55;0.25,-1.388656304289593,-2.813697294194686,0.09030277440489431,"independent Uniform(-pi, pi)",1,0.008613023200140615,0.9676548053778035,1.2589994907015574,20.0,7.105427357601002e-15,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_2db_20deg,draw1,phi,gain_db,15860066323691802330,3,1;0.55;0.25,-0.10979479761532884,-2.8064430393487503,-1.0014009219943083,"independent Uniform(-pi, pi)",1,0.0015300038630312138,2.3977446286281636,1.3365726619868927,2.0,4.440892098500626e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_2db_20deg,draw1,phi,phase_deg,4998432523730101874,3,1;0.55;0.25,-2.1660441660822367,-2.8268033730009225,1.4402612653611264,"independent Uniform(-pi, pi)",1,0.004503819755222039,-0.5333089481794008,1.5947215005436022,20.0,3.552713678800501e-15,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_2db_20deg,draw1,theta,gain_db,9344682838746080945,3,1;0.55;0.25,-1.9303661649575876,0.039548922828801736,-2.7802095272681604,"independent Uniform(-pi, pi)",1,0.011496556037931961,-1.3003638288822927,1.684871957855033,2.0,4.440892098500626e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_2db_20deg,draw1,theta,phase_deg,13086110924138329577,3,1;0.55;0.25,-1.119664655824605,1.1165291598225275,1.4783374341041657,"independent Uniform(-pi, pi)",1,0.012585084280447007,0.5968387352821641,1.4457134544204258,20.0,7.105427357601002e-15,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_2db_20deg,draw2,phi,gain_db,14478304439444843795,3,1;0.55;0.25,1.3779793940995209,-2.5401828765710612,-0.646248594064418,"independent Uniform(-pi, pi)",1,-0.012550685766559228,0.8947312743253985,1.5769273561530297,2.0,1.1102230246251565e-15,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_2db_20deg,draw2,phi,phase_deg,1937332905951136582,3,1;0.55;0.25,-2.014520988496652,1.6121733624609682,-2.5646782830490413,"independent Uniform(-pi, pi)",1,0.017462068583471217,-0.9005583198911302,2.021865332457965,20.0,7.105427357601002e-15,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_2db_20deg,draw2,theta,gain_db,946732660562334634,3,1;0.55;0.25,0.07467584607908062,-0.2898876686127396,2.1266378908927406,"independent Uniform(-pi, pi)",1,-0.004881155513362698,1.2748031488840619,1.199157414926759,2.0,4.440892098500626e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_2db_20deg,draw2,theta,phase_deg,2467032680157766858,3,1;0.55;0.25,1.3755284100246845,-0.48164758329783863,-0.5917902757083642,"independent Uniform(-pi, pi)",1,-0.01204742588522898,0.036109008709278856,1.5738371653735244,20.0,3.552713678800501e-15,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
